type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,abstract
article,1141985,Kshitiz  Garg and Shree K. Nayar,,,,Photorealistic Rendering of Rain Streaks,996--1002,,7,"oscillations, particle system, rain rendering, rain streak appearance, rain streak database, raindrops",10.1145/1179352.1141985,,,,,,,2006,,ACM SIGGRAPH 2006 Papers,SIGGRAPH '06,,1-59593-364-6,"Boston, Massachusetts",ACM,"New York, NY, USA","Photorealistic rendering of rain streaks with lighting and viewpoint effects is a challenging problem. Raindrops undergo rapid shape distortions as they fall, a phenomenon referred to as oscillations. Due to these oscillations, the reflection of light by, and the refraction of light through, a falling raindrop produce complex brightness patterns within a single motion-blurred rain streak captured by a camera or observed by a human. The brightness pattern of a rain streak typically includes speckles, multiple smeared highlights and curved brightness contours. In this work, we propose a new model for rain streak appearance that captures the complex interactions between the lighting direction, the viewing direction and the oscillating shape of the drop. Our model builds upon a raindrop oscillation model that has been developed in atmospheric sciences. We have measured rain streak appearances under a wide range of lighting and viewing conditions and empirically determined the oscillation parameters that are dominant in raindrops. Using these parameters, we have rendered thousands of rain streaks to create a database that captures the variations in streak appearance with respect to lighting and viewing directions. We have developed an efficient image-based rendering algorithm that uses our streak database to add rain to a single image or a captured video with moving objects and sources. The rendering algorithm is very simple to use as it only requires a coarse depth map of the scene and the locations and properties of the light sources. We have rendered rain in a wide range of scenarios and the results show that our physically-based rain streak model greatly enhances the visual realism of rendered rain."
article,2777082,Katsiaryna  Mirylenka and Graham  Cormode and Themis  Palpanas and Divesh  Srivastava,,,,Conditional Heavy Hitters: Detecting Interesting Correlations in Data Streams,395--414,,20,"Heavy hitters, Online algorithms, Streaming data",10.1007/s00778-015-0382-5,The VLDB Journal,June      2015,24,3,,June,2015,1066-8888,,,,,,"Springer-Verlag New York, Inc.","Secaucus, NJ, USA","The notion of heavy hitters--items that make up a large fraction of the population--has been successfully used in a variety of applications across sensor and RFID monitoring, network data analysis, event mining, and more. Yet this notion often fails to capture the semantics we desire when we observe data in the form of correlated pairs. Here, we are interested in items that are conditionally frequent: when a particular item is frequent within the context of its parent item. In this work, we introduce and formalize the notion of conditional heavy hitters to identify such items, with applications in network monitoring and Markov chain modeling. We explore the relationship between conditional heavy hitters and other related notions in the literature, and show analytically and experimentally the usefulness of our approach. We introduce several algorithm variations that allow us to efficiently find conditional heavy hitters for input data with very different characteristics, and provide analytical results for their performance. Finally, we perform experimental evaluations with several synthetic and real datasets to demonstrate the efficacy of our methods and to study the behavior of the proposed algorithms for different types of data."
article,2893184,Martin  Marinov and Nicholas  Nash and David  Gregg,,,,Practical Algorithms for Finding Extremal Sets,1.9:1--1.9:21,1.9,21,"Algorithms, dataset, extremal sets, itemset, memoization, parallel, practical",10.1145/2893184,J. Exp. Algorithmics,2016,21,,,April,2016,1084-6654,,,,,,ACM,"New York, NY, USA","The minimal sets within a collection of sets are defined as the ones that do not have a proper subset within the collection, and the maximal sets are the ones that do not have a proper superset within the collection. Identifying extremal sets is a fundamental problem with a wide range of applications in SAT solvers, data mining, and social network analysis. In this article, we present two novel improvements of the high-quality extremal set identification algorithm, AMS-Lex, described by Bayardo and Panda. The first technique uses memoization to improve the execution time of the single-threaded variant of the AMS-Lex, while our second improvement uses parallel programming methods. In a subset of the presented experiments, our memoized algorithm executes more than 400 times faster than the highly efficient publicly available implementation of AMS-Lex. Moreover, we show that our modified algorithm's speedup is not bounded above by a constant and that it increases as the length of the common prefixes in successive input itemsets increases. We provide experimental results using both real-world and synthetic datasets, and show our multithreaded variant algorithm outperforming AMS-Lex by 3 to 6 times. We find that on synthetic input datasets, when executed using 16 CPU cores of a 32-core machine, our multithreaded program executes about as fast as the state-of-the-art parallel GPU-based program using an NVIDIA GTX 580 graphics processing unit."
article,3076088,Adis  Alihodzic and Eva  Tuba and Milan  Tuba,,,,An Upgraded Bat Algorithm for Tuning Extreme Learning Machines for Data Classification,125--126,,2,"bat algorithm, extreme learning machine, swarm intelligence",10.1145/3067695.3076088,,,,,,,2017,,Proceedings of the Genetic and Evolutionary Computation Conference Companion,GECCO '17,,978-1-4503-4939-0,"Berlin, Germany",ACM,"New York, NY, USA","The learning time of the synaptic weights for feedforward neural networks tend to be very long. In order to reduce the learning time, in this paper we propose a new learning algorithm for learning the synaptic weights of the single-hidden-layer feedforward neural networks by combining the upgraded bat algorithm with the extreme learning machine. The proposed approach can efficiently search for the optimal input weights as well as the hidden biases, leading to the reduced number of evaluations needed to train a neural network. The experimental results based on classification problems and comparison with other approaches from literature have shown that the proposed algorithm produces a satisfactory performance in almost all cases and that it can learn the weight factors much faster than the traditional learning algorithms."
article,2820843,Ran  Wang and Chi-Yin  Chow and Yan  Lyu and Victor C. S. Lee and Sam  Kwong and Yanhua  Li and Jia  Zeng,,,,TaxiRec: Recommending Road Clusters to Taxi Drivers Using Ranking-based Extreme Learning Machines,53:1--53:4,53,4,"extreme learning machine, passenger-finding potential, recommender system, taxi trajectory data",10.1145/2820783.2820843,,,,,,,2015,,Proceedings of the 23rd SIGSPATIAL International Conference on Advances in Geographic Information Systems,SIGSPATIAL '15,,978-1-4503-3967-4,"Seattle, Washington",ACM,"New York, NY, USA","Utilizing large-scale GPS data to improve taxi services becomes a popular research problem in the areas of data mining, intelligent transportation, and the Internet of Things. In this paper, we utilize a large-scale GPS data set generated by over 7,000 taxis in a period of one month in Nanjing, China, and propose TaxiRec; a framework for discovering the passenger-finding potentials of road clusters, which is incorporated into a recommender system for taxi drivers to hunt passengers. In TaxiRec, we first construct the road network by defining the nodes and road segments. Then, the road network is divided into a number of road clusters through a clustering process on the mid points of the road segments. Afterwards, a set of features for each road cluster is extracted from real-life data sets, and a ranking-based extreme learning machine (ELM) model is proposed to evaluate the passenger-finding potential of each road cluster. Experimental results demonstrate the feasibility and effectiveness of the proposed framework."
article,2701177,Saima  Hassan and Abbas  Khosravi and Jafreezal  Jaafar,,,,Training of Interval Type-2 Fuzzy Logic System Using Extreme Learning Machine for Load Forecasting,87:1--87:5,87,5,"extreme learning machine, interval type-2 fuzzy logic systems, learning algorithm, load forecasting, parameter optimization",10.1145/2701126.2701177,,,,,,,2015,,Proceedings of the 9th International Conference on Ubiquitous Information Management and Communication,IMCOM '15,,978-1-4503-3377-1,"Bali, Indonesia",ACM,"New York, NY, USA","Extreme learning machine (ELM) is originally proposed for single-hidden layer feed-forward neural networks (SLFN). From the functional equivalence of fuzzy logic systems and SLFN, the fuzzy logic systems can be interpreted as a special case of SLFN under some mild conditions. Hence the fuzzy logic systems can be trained using SLFN's learning algorithms. Considering the same equivalence, ELM is utilized here to train interval type-2 fuzzy logic systems (IT2FLSs). Based on the working principle of the ELM, the parameters of the antecedent of IT2FLSs are randomly generated while the consequent part of IT2FLSs is optimized using Moore-Penrose generalized inverse of ELM. Application of the developed model to electricity load forecasting is another novelty of the research work. Experimental results shows better forecasting performance of the proposed model over the two frequently used forecasting models."
article,3054204,Yukihiro  Tagami,,,,Learning Extreme Multi-label Tree-classifier via Nearest Neighbor Graph Partitioning,845--846,,2,"approximate k-nearest neighbor graph, extreme multi-label classification",10.1145/3041021.3054204,,,,,,,2017,,Proceedings of the 26th International Conference on World Wide Web Companion,WWW '17 Companion,,978-1-4503-4914-7,"Perth, Australia",International World Wide Web Conferences Steering Committee,"Republic and Canton of Geneva, Switzerland","Web scale classification problems, such as Web page tagging and E-commerce product recommendation, are typically regarded as multi-label classification with an extremely large number of labels. In this paper, we propose GPT, which is a novel tree-based approach for extreme multi-label learning. GPT recursively splits a feature space with a hyperplane at each internal node, considering approximate k-nearest neighbor graph on the label space. We learn the linear binary classifiers using a simple optimization procedure. We conducted evaluations on several large-scale real-world data sets and compared our proposed method with recent state-of-the-art methods. Experimental results demonstrate the effectiveness of our proposed method."
article,1632388,Wanyu  Deng and Qinghua  Zheng and Lin  Chen,,,,Real-Time Collaborative Filtering Using Extreme Learning Machine,466--473,,8,"collaborative filtering, Extreme Learning Machine",10.1109/WI-IAT.2009.80,,,,,,,2009,,Proceedings of the 2009 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology - Volume 01,WI-IAT '09,,978-0-7695-3801-3,,IEEE Computer Society,"Washington, DC, USA","Because of long-consuming training or similarity computing, most traditional collaborative filtering algorithms are off-line methods and can't be applied in collaborative-filtering services that have accumulated large amounts of data and need to compute predictions under real-time conditions. In order to address this problem, we propose a novel real-time collaborative filtering algorithm, called RCF, based on Extreme Learning Machine (ELM). The initial training and updating of RCF are very fast and can be finished in real time. The experimental results show that the mean recommendation time of RCF is shorter than SVD/ANN and correlation-based algorithms reported in other papers while the accuracy is better."
article,3080834,Jingzhou  Liu and Wei-Cheng  Chang and Yuexin  Wu and Yiming  Yang,,,,Deep Learning for Extreme Multi-label Text Classification,115--124,,10,"convolutional neural network, deep learning, extreme text classification, multi-label",10.1145/3077136.3080834,,,,,,,2017,,Proceedings of the 40th International ACM SIGIR Conference on Research and Development in Information Retrieval,SIGIR '17,,978-1-4503-5022-8,"Shinjuku, Tokyo, Japan",ACM,"New York, NY, USA","Extreme multi-label text classification (XMTC) refers to the problem of assigning to each document its most relevant subset of class labels from an extremely large label collection, where the number of labels could reach hundreds of thousands or millions. The huge label space raises research challenges such as data sparsity and scalability. Significant progress has been made in recent years by the development of new machine learning methods, such as tree induction with large-margin partitions of the instance spaces and label-vector embedding in the target space. However, deep learning has not been explored for XMTC, despite its big successes in other related areas. This paper presents the first attempt at applying deep learning to XMTC, with a family of new Convolutional Neural Network (CNN) models which are tailored for multi-label classification in particular. With a comparative evaluation of 7 state-of-the-art methods on 6 benchmark datasets where the number of labels is up to 670,000, we show that the proposed CNN approach successfully scaled to the largest datasets, and consistently produced the best or the second best results on all the datasets. On the Wikipedia dataset with over 2 million documents and 500,000 labels in particular, it outperformed the second best method by 11.7%~15.3% in [email protected] and by 11.5%~11.7% in [email protected] for K = 1,3,5."
article,1299038,Runxuan  Zhang and Guang-Bin  Huang and N.  Sundararajan and P.  Saratchandran,,,,Multicategory Classification Using An Extreme Learning Machine for Microarray Gene Expression Cancer Diagnosis,485--495,,11,"Extreme learning machine, gene expression, microarray, multi-category classification, SVM",10.1109/tcbb.2007.1012,IEEE/ACM Trans. Comput. Biol. Bioinformatics,July 2007,4,3,,July,2007,1545-5963,,,,,,IEEE Computer Society Press,"Los Alamitos, CA, USA","In this paper, the recently developed Extreme Learning Machine (ELM) is used for direct multicategory classification problems in the cancer diagnosis area. ELM avoids problems like local minima, improper learning rate and overfitting commonly faced by iterative learning methods and completes the training very fast. We have evaluated the multi-category classification performance of ELM on three benchmark microarray datasets for cancer diagnosis, namely, the GCM dataset, the Lung dataset and the Lymphoma dataset. The results indicate that ELM produces comparable or better classification accuracies with reduced training time and implementation complexity compared to artificial neural networks methods like conventional back-propagation ANN, Linder's SANN, and Support Vector Machine methods like SVM-OVO and Ramaswamy's SVM-OVA. ELM also achieves better accuracies for classification of individual categories."
article,2942492,Weina  Wang and Kai  Zhu and Lei  Ying and Jian  Tan and Li  Zhang,,,,MapTask Scheduling in Mapreduce with Data Locality: Throughput and Heavy-traffic Optimality,190--203,,14,"MapReduce, heavy-traffic analysis, queueing systems, scheduling, throughput optimality",10.1109/TNET.2014.2362745,IEEE/ACM Trans. Netw.,February 2016,24,1,,February,2016,1063-6692,,,,,,IEEE Press,"Piscataway, NJ, USA","MapReduce/Hadoop framework has been widely used to process large-scale datasets on computing clusters. Scheduling map tasks with data locality consideration is crucial to the performance of MapReduce. Many works have been devoted to increasing data locality for better efficiency. However, to the best of our knowledge, fundamental limits of MapReduce computing clusters with data locality, including the capacity region and theoretical bounds on the delay performance, have not been well studied. In this paper, we address these problems from a stochastic network perspective. Our focus is to strike the right balance between data locality and load balancing to simultaneously maximize throughput and minimize delay. We present a new queueing architecture and propose a map task scheduling algorithm constituted by the Join the Shortest Queue policy together with the MaxWeight policy. We identify an outer bound on the capacity region, and then prove that the proposed algorithm can stabilize any arrival rate vector strictly within this outer bound. It shows that the outer bound coincides with the actual capacity region, and the proposed algorithm is throughput-optimal. Furthermore, we study the number of backlogged tasks under the proposed algorithm, which is directly related to the delay performance based on Little's law. We prove that the proposed algorithm is heavy-traffic optimal, i.e., it asymptotically minimizes the number of back-logged tasks as the arrival rate vector approaches the boundary of the capacity region. Therefore, the proposed algorithm is also delay-optimal in the heavy-traffic regime. The proofs in this paper deal with random processing times with heterogeneous parameters and nonpreemptive task execution, which differentiate our work from many existing works on MaxWeight-type algorithms, so the proof techniques themselves for the stability analysis and the heavy-traffic analysis are also novel contributions."
article,1341433,Xenofontas  Dimitropoulos and Paul  Hurley and Andreas  Kind,,,,Probabilistic Lossy Counting: An Efficient Algorithm for Finding Heavy Hitters,5--5,,1,"data streams, heavy hitters",10.1145/1341431.1341433,SIGCOMM Comput. Commun. Rev.,January 2008,38,1,,January,2008,0146-4833,,,,,,ACM,"New York, NY, USA","Knowledge of the largest traffic ows in a network is important for many network management applications. The problem of finding these ows is known as the heavy-hitter problem and has been the subject of many studies in the past years. One of the most efficient and well-known algorithms for finding heavy hitters is lossy counting [29]. In this work we introduce probabilistic lossy counting (PLC), which enhances lossy counting in computing network traffic heavy hitters. PLC uses on a tighter error bound on the estimated sizes of traffic ows and provides probabilistic rather than deterministic guarantees on its accuracy. The probabilistic-based error bound substantially improves the memory consumption of the algorithm. In addition, PLC reduces the rate of false positives of lossy counting and achieves a low estimation error, although slightly higher than that of lossy counting We compare PLC with state-of-the-art algorithms for finding heavy hitters. Our experiments using real traffic traces find that PLC has 1) between 34.4% and 74% lower memory consumption, 2) between 37.9% and 40.5% fewer false positives than lossy counting, and 3) a small estimation error."
article,2666664,Junlong  Xiang and Magnus  Westerlund and Du&#353;an  Sovilj and G&#246;ran  Pulkkis,,,,Using Extreme Learning Machine for Intrusion Detection in a Big Data Environment,73--82,,10,"big data, classification, extreme learning machine, intrusion detection, mapreduce",10.1145/2666652.2666664,,,,,,,2014,,Proceedings of the 2014 Workshop on Artificial Intelligent and Security Workshop,AISec '14,,978-1-4503-3153-1,"Scottsdale, Arizona, USA",ACM,"New York, NY, USA","Extending state-of-the-art machine learning algorithms to highly scalable (big data) analysis environments is crucial for the handling of authentic datasets in Intrusion Detection Systems (IDS). Traditional supervised learning methods are considered to be too slow for use in these environments. Therefore, we propose the use of Extreme Learning Machine (ELM) for detecting network intrusion attempts. We show they hold great promise for the field by employing a MapReduce based variant evaluated on the open source tool Hadoop."
article,3060606,Diana Andreea Popescu and Gianni  Antichi and Andrew W. Moore,,,,Enabling Fast Hierarchical Heavy Hitter Detection Using Programmable Data Planes,191--192,,2,"Hierarchical Heavy Hitters, P4, SDN",10.1145/3050220.3060606,,,,,,,2017,,Proceedings of the Symposium on SDN Research,SOSR '17,,978-1-4503-4947-5,"Santa Clara, CA, USA",ACM,"New York, NY, USA","Measuring and monitoring network traffic is a fundamental aspect in network management. This poster is a first step towards an SDN solution using an event triggered approach to support advanced monitoring dataplane capabilities. Leveraging P4 programmability, we built a solution to inform a remote controller about the detected hierarchical heavy hitters, thus minimizing control plane overheads."
article,3140040,Monidipa  Das and Soumya K. Ghosh,,,,BESTED: An Exponentially Smoothed Spatial Bayesian Analysis Model for Spatio-temporal Prediction of Daily Precipitation,55:1--55:4,55,4,"Exponential smoothing, Precipitation, Spatial Bayesian network, Spatio-temporal prediction, Time series",10.1145/3139958.3140040,,,,,,,2017,,Proceedings of the 25th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,SIGSPATIAL'17,,978-1-4503-5490-5,"Redondo Beach, CA, USA",ACM,"New York, NY, USA","This paper proposes a novel data-driven model (BESTED), based on spatial Bayesian network with incorporated exponential smoothing mechanism, for predicting precipitation time series on daily basis. In BESTED, the spatial Bayesian network helps to efficiently model the influence of spatially distributed variables. Moreover, the incorporated exponential smoothing mechanism aids in tuning the network inferred values to compensate for the unknown factors, influencing the precipitation rate. Empirical study has been carried out to predict the daily precipitation in West Bengal, India, for the year 2015. The experimental result demonstrates the superiority of the proposed BESTED model, compared to the other benchmarks and state-of-the-art techniques."
article,3018053,Sivanagaraja  Tatinati and Yubo  Wang and Kalyana C. Veluvolu,,,,Modeling of Physiological Tremor with Quaternion Variant of Extreme Learning Machines,255--258,,4,"extreme learning machines, modeling, physiological tremor, quaternion",10.1145/3018009.3018053,,,,,,,2016,,Proceedings of the 2Nd International Conference on Communication and Information Processing,ICCIP '16,,978-1-4503-4819-5,"Singapore, Singapore",ACM,"New York, NY, USA","Hand-held robotic surgical instruments are developed to acquire the maneuvered hand motion of the surgeon and then provide a control signal for real-time compensation of the physiological tremor in three-dimensional (3-D) space. For active tremor compensation, accurate modeling and estimation of physiological tremor is essential. The current modeling techniques that models tremor in 3D space consider the motion in three-axes [x, y, and z axes) as three separate one-dimensional signals and then perform modeling separately. Recently, it has been shown that for physiological tremor motion there exists cross dimensional coupling and it improves the modeling accuracy. Motivated by this, a quaternion variant for extreme learning machines is developed for accurate 3D modeling of tremor. The developed method is validated with real tremor data and the obtained results highlighted the suitability of this method for accurate tremor modeling in 3D space."
article,3064945,Anton  Akusok and Emil  Eirola and Kaj-Mikael  Bj&#246;rk and Yoan  Miche and Hans  Johnson and Amaury  Lendasse,,,,Brute-force Missing Data Extreme Learning Machine for Predicting Huntington's Disease,189--192,,4,"Extreme learning machine, Huntington's disease, imputation, missing values",10.1145/3056540.3064945,,,,,,,2017,,Proceedings of the 10th International Conference on PErvasive Technologies Related to Assistive Environments,PETRA '17,,978-1-4503-5227-7,"Island of Rhodes, Greece",ACM,"New York, NY, USA","This paper presents a novel procedure to train Extreme Learning Machine models on datasets with missing values. In effect, a separate model is learned to classify every sample in the test set, however, this is accomplished in an efficient manner which does not require accessing the training data repeatedly. Instead, a sparse structure is imposed on the input layer weights, which enables calculating the necessary statistics in the training phase. An application to predicting the progression of Huntington's disease from brain scans is presented. Experimental comparisons show promising results equivalent to the state of the art in machine learning with incomplete data."
article,1463528,Yong  Liu and David J. Hill and Alejandro  Rodriguez and Luigi  Marini and Rob  Kooper and Joe  Futrelle and Barbara  Minsker and James D. Myers,,,,Near-real-time Precipitation Virtual Sensor Using NEXRAD Data,82:1--82:2,82,2,"NEXRAD, digital watershed, ontology, precipitation, spatiotemporal and thematic transformation, virtual sensor, workflow",10.1145/1463434.1463528,,,,,,,2008,,Proceedings of the 16th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,GIS '08,,978-1-60558-323-5,"Irvine, California",ACM,"New York, NY, USA","In this demonstration paper, we describe the technologies and implementations that allow near real-time creation of new virtual precipitation sensors using NEXRAD Level II streaming data at user-specified point locations and time intervals in an integrated digital watershed with a Google Map-based web interface. The spatiotemporal and thematic transformation steps to produce such new time series data stream are implemented as a set of scientific workflows. A streaming data ontology is developed to handle temporal proximity concepts such as ""previous"" and ""next"" for irregular temporal data streams. Data and metadata management is provided by a semantic content management middleware. The new point-based virtual sensor can lower the barriers of using NEXRAD data for many hydrological applications."
article,3126776,Stevan  Rudinac and Iva  Gornishka and Marcel  Worring,,,,Multimodal Classification of Violent Online Political Extremism Content with Graph Convolutional Networks,245--252,,8,"entity linking, graph convolutional networks, multimedia classification, semantic concepts, violent online political extremism",10.1145/3126686.3126776,,,,,,,2017,,Proceedings of the on Thematic Workshops of ACM Multimedia 2017,Thematic Workshops '17,,978-1-4503-5416-5,"Mountain View, California, USA",ACM,"New York, NY, USA","In this paper we present a multimodal approach to categorizing user posts based on their discussion topic. To integrate heterogeneous information extracted from the posts, i.e. text, visual content and the information about user interactions with the online platform, we deploy graph convolutional networks that were recently proven effective in classification tasks on knowledge graphs. As the case study we use the analysis of violent online political extremism content, a challenging task due to a particularly high semantic level at which extremist ideas are discussed. Here we demonstrate the potential of using neural networks on graphs for classifying multimedia content and, perhaps more importantly, the effectiveness of multimedia analysis techniques in aiding the domain experts performing qualitative data analysis. Our conclusions are supported by extensive experiments on a large collection of extremist posts."
article,1559820,Ke  Yi and Qin  Zhang,,,,Optimal Tracking of Distributed Heavy Hitters and Quantiles,167--174,,8,"distributed tracking, heavy hitter, quantile",10.1145/1559795.1559820,,,,,,,2009,,Proceedings of the Twenty-eighth ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems,PODS '09,,978-1-60558-553-6,"Providence, Rhode Island, USA",ACM,"New York, NY, USA","We consider the the problem of tracking heavy hitters and quantiles in the distributed streaming model. The heavy hitters and quantiles are two important statistics for characterizing a data distribution. Let A be a multiset of elements, drawn from the universe U={1,...,u}. For a given 0 ≤ Φ ≤ 1, the Φ-heavy hitters are those elements of A whose frequency in A is at least Φ |A|; the Φ-quantile of A is an element x of U such that at most Φ|A| elements of A are smaller than A and at most (1-Φ)|A| elements of A are greater than x. Suppose the elements of A are received at k remote sites over time, and each of the sites has a two-way communication channel to a designated coordinator, whose goal is to track the set of Φ-heavy hitters and the Φ-quantile of A approximately at all times with minimum communication. We give tracking algorithms with worst-case communication cost O(k/ε ⋅ log n) for both problems, where n is the total number of items in A, and ε is the approximation error. This substantially improves upon the previous known algorithms. We also give matching lower bounds on the communication costs for both problems, showing that our algorithms are optimal. We also consider a more general version of the problem where we simultaneously track the Φ-quantiles for all 0 ≤ Φ ≤ 1."
article,2369192,Krishna  Jagannathan and Mihalis  Markakis and Eytan  Modiano and John N. Tsitsiklis,,,,Queue-length Asymptotics for Generalized Max-weight Scheduling in the Presence of Heavy-tailed Traffic,1096--1111,,16,"heavy-tailed traffic, scheduling, throughput optimality",10.1109/TNET.2011.2173553,IEEE/ACM Trans. Netw.,August 2012,20,4,,August,2012,1063-6692,,,,,,IEEE Press,"Piscataway, NJ, USA","We investigate the asymptotic behavior of the steady-state queue-length distribution under generalized max-weight scheduling in the presence of heavy-tailed traffic. We consider a system consisting of two parallel queues, served by a single server. One of the queues receives heavy-tailed traffic, and the other receives light-tailed traffic. We study the class of throughput-optimal max-weight-α scheduling policies and derive an exact asymptotic characterization of the steady-state queue-length distributions. In particular, we show that the tail of the light queue distribution is at least as heavy as a power-law curve, whose tail coefficient we obtain explicitly. Our asymptotic characterization also shows that the celebrated max-weight scheduling policy leads to the worst possible tail coefficient of the light queue distribution, among all nonidling policies. Motivated by the above negative result regarding the max-weight-α policy, we analyze a log-max-weight (LMW) scheduling policy. We show that the LMWpolicy guarantees an exponentially decaying light queue tail while still being throughput-optimal."
article,3098832,Ran  Ben Basat and Gil  Einziger and Roy  Friedman and Marcelo C. Luizelli and Erez  Waisbard,,,,Constant Time Updates in Hierarchical Heavy Hitters,127--140,,14,"Heavy Hitters, Measurement, Monitoring, Streaming",10.1145/3098822.3098832,,,,,,,2017,,Proceedings of the Conference of the ACM Special Interest Group on Data Communication,SIGCOMM '17,,978-1-4503-4653-5,"Los Angeles, CA, USA",ACM,"New York, NY, USA","Monitoring tasks, such as anomaly and DDoS detection, require identifying frequent flow aggregates based on common IP prefixes. These are known as hierarchical heavy hitters (HHH), where the hierarchy is determined based on the type of prefixes of interest in a given application. The per packet complexity of existing HHH algorithms is proportional to the size of the hierarchy, imposing significant overheads. In this paper, we propose a randomized constant time algorithm for HHH. We prove probabilistic precision bounds backed by an empirical evaluation. Using four real Internet packet traces, we demonstrate that our algorithm indeed obtains comparable accuracy and recall as previous works, while running up to 62 times faster. Finally, we extended Open vSwitch (OVS) with our algorithm and showed it is able to handle 13.8 million packets per second. In contrast, incorporating previous works in OVS only obtained 2.5 times lower throughput."
article,2897558,Vladimir  Braverman and Stephen R.  Chestnut and Nikita  Ivkin and David P.  Woodruff,,,,Beating CountSketch for Heavy Hitters in Insertion Streams,740--753,,14,"Chaining, Data Streams, Heavy Hitters",10.1145/2897518.2897558,,,,,,,2016,,Proceedings of the Forty-eighth Annual ACM Symposium on Theory of Computing,STOC '16,,978-1-4503-4132-5,"Cambridge, MA, USA",ACM,"New York, NY, USA","Given a stream p1, …, pm of items from a universe U, which, without loss of generality we identify with the set of integers {1, 2, …, n}, we consider the problem of returning all ℓ2-heavy hitters, i.e., those items j for which fj ≥ є √F2, where fj is the number of occurrences of item j in the stream, and F2 = ∑i ∈ [n] fi2. Such a guarantee is considerably stronger than the ℓ1-guarantee, which finds those j for which fj ≥ є m. In 2002, Charikar, Chen, and Farach-Colton suggested the CountSketch data structure, which finds all such j using Θ(log2 n) bits of space (for constant є > 0). The only known lower bound is Ω(logn) bits of space, which comes from the need to specify the identities of the items found. In this paper we show one can achieve O(logn loglogn) bits of space for this problem. Our techniques, based on Gaussian processes, lead to a number of other new results for data streams, including: (1) The first algorithm for estimating F2 simultaneously at all points in a stream using only O(lognloglogn) bits of space, improving a natural union bound. (2) A way to estimate the ℓ∞ norm of a stream up to additive error є √F2 with O(lognloglogn) bits of space, resolving Open Question 3 from the IITK 2006 list for insertion only streams."
article,2666273,Heysem  Kaya and Albert Ali  Salah,,,,Combining Modality-Specific Extreme Learning Machines for Emotion Recognition in the Wild,487--493,,7,"audio-visual emotion corpus, audio-visual fusion, emotion recognition in the wild, extreme learning machines, feature extraction",10.1145/2663204.2666273,,,,,,,2014,,Proceedings of the 16th International Conference on Multimodal Interaction,ICMI '14,,978-1-4503-2885-2,"Istanbul, Turkey",ACM,"New York, NY, USA","This paper presents our contribution to ACM ICMI 2014 Emotion Recognition in the Wild Challenge and Workshop. The proposed system utilizes Extreme Learning Machines (ELM) for modeling modality-specific features and combines the scores for final prediction. The state-of-the-art results in acoustic and visual emotion recognition are obtained either using deep Neural Networks (DNN) or Support Vector Machines (SVM). The ELM paradigm is proposed as a fast and accurate alternative to these two popular machine learning methods. Benefiting from fast learning advantage of ELM, we carry out extensive tests on the data using moderate computational resources. In the video modality, we test combination of regional visual features obtained from the inner face. In the audio modality, we carry out tests to enhance training via other emotional corpora. We further investigate the suitability of several recently proposed feature selection approaches to prune the acoustic features. In our study, the best results for both modalities are obtained with Kernel ELM compared to basic ELM. On the challenge test set, we obtain 37.84%, 39.07% and 44.23% classification accuracies for audio, video and multimodal fusion, respectively."
article,2902284,Arnab  Bhattacharyya and Palash  Dey and David P. Woodruff,,,,An Optimal Algorithm for L1-Heavy Hitters in Insertion Streams and Related Problems,385--400,,16,"algorithms, data streams, frequent items, heavy hitters",10.1145/2902251.2902284,,,,,,,2016,,Proceedings of the 35th ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,PODS '16,,978-1-4503-4191-2,"San Francisco, California, USA",ACM,"New York, NY, USA","We give the first optimal bounds for returning the l1-heavy hitters in a data stream of insertions, together with their approximate frequencies, closing a long line of work on this problem. For a stream of m items in {1, 2, ..., n} and parameters 0 < ε < φ ≤ 1, let fi denote the frequency of item i, i.e., the number of times item i occurs in the stream. With arbitrarily large constant probability, our algorithm returns all items i for which fi ≥ φ m, returns no items j for which fj ≤ (φ -ε)m, and returns approximations ~fi with |~fi - fi| ≤ ε m for each item i that it returns. Our algorithm uses O(ε-1 logφ-1 + φ-1 log n + log log m) bits of space, processes each stream update in O(1) worst-case time, and can report its output in time linear in the output size. We also prove a lower bound, which implies that our algorithm is optimal up to a constant factor in its space complexity. A modification of our algorithm can be used to estimate the maximum frequency up to an additive ε m error in the above amount of space, resolving Question 3 in the IITK 2006 Workshop on Algorithms for Data Streams for the case of l1-heavy hitters. We also introduce several variants of the heavy hitters and maximum frequency problems, inspired by rank aggregation and voting schemes, and show how our techniques can be applied in such settings. Unlike the traditional heavy hitters problem, some of these variants look at comparisons between items rather than numerical values to determine the frequency of an item."
